;;;;;;
;;;;;;
;"01001 - Mathematics 1a (Polytechnical foundation)
Danish | 10 ECTS | 2024/2025 | Autumn";;;;;
;"01002 - Mathematics 1b (Polytechnical Foundation)
Danish | 10 ECTS | 2024/2025 | Spring";;;;;
;"01003 - Mathematics 1a (Polytechnical foundation)
English | 10 ECTS | 2024/2025 | Autumn";;;;;
;"01004 - Mathematics 1b (Polytechnical Foundation)
English | 10 ECTS | 2024/2025 | Spring";;;;;
;"01017 - Discrete Mathematics
Danish | 5 ECTS | 2024/2025 | Autumn E2B (Thurs 8-12)";;;;;
;"01018 - Discrete mathematics 2: algebra
English | 5 ECTS | 2024/2025 | Autumn E3B (Fri 13-17)";;;;;
;"01019 - Discrete Mathematics
English | 5 ECTS | 2024/2025 | Autumn E2B (Thurs 8-12)";;;;;
;"01020 - Advanced Linear Algebra
Danish | 5 ECTS | 2024/2025 | Spring F2B (Thurs 8-12)";;;;;
;"01025 - Advanced Mathematics 2 for Mathematics and Technology
Danish | 5 ECTS | 2024/2025 | Autumn E5A (Wed 8-12)";;;;;
;"01034 - Advanced Engineering Mathematics 2
English | 5 ECTS | 2024/2025 | Autumn E1A (Mon 8-12)";;;;;
;"01035 - Advanced Engineering Mathematics 2
Danish | 5 ECTS | 2024/2025 | Autumn E2B (Thurs 8-12) or Spring F2B (Thurs 8-12)";;;;;
;"01037 - Advanced Engineering Mathematics 2 (Summer University)
Danish | 5 ECTS | 2024/2025 | August";;;;;
;"01125 - Fundamental topological concepts and metric spaces
Danish | 5 ECTS | 2024/2025 | Spring F1B (Thurs 13-17)";;;;;
;"01227 - Graph Theory
English | 5 ECTS | 2024/2025 | Spring F1B (Thurs 13-17)";;;;;
;"01237 - Differential geometry and parametric design
Danish | 5 ECTS | 2024/2025 | Autumn E4B (Fri 8-12)";;;;;
;"01238 - Differential Geometry
English | 5 ECTS | 2024/2025 | Spring F2B (Thurs 8-12)";;;;;
